,SIZE,SEXA,SSJB1WK,SPAGEX,SPLVTG,PPLVTG,MMLVTG,CCNUMTTL,CC01SEX,CC01AGE,SZFFOTHR,SZFFONLY,SZFFTTL,FFHEAD,SZFFOUT,INCSELF,INCSP,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,XSSNBROY,XSSNSISY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,SSLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
0,3,2,0,0,0,3,3,3,1,0,0,0,1,1,0,0,1,0,1,1,1,4,1,1,0,0,3,0,0,1,2,3,0,1,2
1,3,2,0,0,0,3,3,4,1,65,2,3,4,4,0,1,1,0,1,0,1,3,2,1,2,1,3,2,2,4,2,3,1,1,2
2,4,1,0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,1,1,1,1,4,0,0,0,0,1,0,0,1,2,2,1,1,2
3,3,2,0,0,0,3,3,2,1,60,0,0,1,1,0,1,1,0,1,1,1,3,1,1,2,2,2,2,2,4,2,3,1,1,2
4,4,2,0,0,0,3,3,4,2,62,2,3,4,4,0,0,1,1,1,1,1,0,2,0,1,1,3,0,0,1,2,2,1,1,2
5,3,1,3,80,1,3,3,1,1,55,0,1,2,1,0,1,1,0,1,1,1,3,0,0,0,0,4,0,0,1,2,2,0,1,2
6,3,2,3,82,1,3,3,5,2,58,0,1,2,2,0,1,1,0,1,1,1,0,2,3,2,2,4,2,2,4,1,1,1,1,2
7,4,1,3,74,1,3,2,2,1,52,0,1,2,1,0,1,1,0,1,1,1,3,1,4,0,4,4,2,2,4,1,2,1,1,2
8,3,1,3,79,1,3,3,2,1,43,0,1,2,1,0,1,1,0,1,1,1,3,3,2,1,3,4,2,1,1,1,1,1,1,2
9,2,1,3,75,1,3,3,2,1,52,0,1,2,1,0,1,1,0,1,1,1,3,1,1,1,1,2,2,2,1,1,2,1,1,2
10,4,2,3,81,3,3,3,3,2,55,1,2,3,4,1,1,1,0,1,1,1,2,3,1,0,0,3,2,2,4,1,1,1,1,2
11,1,1,3,76,1,3,3,2,1,46,0,1,2,1,0,0,1,0,1,1,1,3,2,1,3,2,4,2,2,4,1,2,0,1,2
12,3,2,0,0,0,3,3,3,1,0,1,2,3,1,0,1,1,0,1,1,1,2,1,3,0,0,4,2,6,1,1,0,0,2,2
13,4,2,3,82,1,3,3,2,1,56,0,1,2,2,0,1,1,0,1,1,1,0,0,1,0,0,3,2,6,1,1,1,0,1,2
14,3,1,3,70,1,3,3,2,2,45,0,1,2,1,0,0,1,0,1,1,1,0,1,0,1,4,4,2,2,4,2,2,1,1,2
15,3,1,3,75,1,3,3,1,1,50,0,1,2,1,0,0,1,0,1,1,1,4,0,3,0,0,4,2,6,2,1,2,1,1,2
16,2,2,3,84,1,3,3,2,1,47,0,1,2,2,0,1,1,0,1,1,1,2,6,0,3,4,2,2,3,1,3,1,1,1,2
17,2,1,3,69,1,3,3,2,2,51,0,1,2,1,0,1,1,0,1,1,1,4,0,0,1,3,4,2,0,4,1,1,1,1,2
18,3,1,0,0,0,3,3,2,2,38,0,0,1,1,0,1,1,0,1,1,1,3,0,0,0,0,3,2,2,4,2,0,1,1,2
