,MARC
0,2
1,2
2,2
3,2
4,2
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,1
14,1
15,1
16,1
17,1
18,2
19,1
20,1
21,2
22,2
23,1
24,1
25,1
26,1
27,2
28,1
29,1
30,1
31,2
32,2
33,1
34,2
35,1
36,2
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,2
54,1
55,1
56,1
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,2
76,1
77,1
78,1
79,1
80,1
81,2
82,1
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,2
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,1
119,2
120,1
121,2
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,2
131,1
132,1
133,1
134,1
135,1
136,2
137,1
138,1
139,1
140,1
141,1
142,2
143,1
144,1
145,1
146,2
147,2
148,1
149,1
150,1
151,1
152,2
153,1
154,2
155,1
156,1
157,1
158,1
159,1
160,2
161,1
162,2
163,1
164,1
165,2
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,2
175,2
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,2
186,1
187,1
188,1
189,2
190,2
191,2
192,1
193,2
194,1
195,1
196,1
197,2
198,1
199,1
200,1
201,1
202,1
203,1
204,2
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,2
216,1
217,2
218,1
219,1
220,1
221,1
222,2
223,1
224,2
225,2
226,2
227,1
228,1
229,2
230,1
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,1
245,1
246,2
247,1
248,1
249,2
250,1
251,1
252,2
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,2
264,2
265,1
266,1
267,1
268,2
269,2
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,2
278,1
279,1
280,1
281,1
282,1
283,2
284,1
285,1
286,1
287,2
288,2
289,1
290,2
291,1
292,1
293,1
294,1
295,2
296,2
297,1
298,2
299,2
300,1
301,1
302,1
303,2
304,2
305,2
306,2
307,2
308,2
309,1
310,1
311,2
312,1
313,2
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,2
322,1
323,1
324,2
325,1
326,1
327,2
328,2
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,2
341,1
342,2
343,1
344,2
345,1
346,1
347,2
348,2
349,1
350,1
351,1
352,2
353,1
354,1
355,1
356,1
357,2
358,1
359,1
360,2
361,1
362,2
363,1
364,1
365,2
366,1
367,1
368,1
369,1
370,2
371,1
372,1
373,1
374,1
375,1
376,2
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,2
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,2
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,2
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,2
437,1
438,1
439,1
440,1
441,1
442,1
443,2
444,1
445,1
446,1
447,1
448,2
449,1
450,1
451,2
452,2
453,1
454,1
455,2
456,1
457,2
458,2
459,1
460,2
461,2
462,2
463,2
464,2
465,1
466,1
467,1
468,1
469,1
470,2
471,1
472,1
473,1
474,1
475,1
476,2
477,1
478,1
479,1
480,1
481,1
482,2
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,2
502,1
503,2
504,1
505,2
506,1
507,2
508,2
509,2
510,1
511,2
512,1
513,1
514,1
515,1
516,2
517,1
518,1
519,2
520,2
521,2
522,1
523,2
524,2
525,1
526,1
527,1
528,2
529,2
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,2
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
