,SIZE,SEXA,PPLVTG,MMLVTG,SZFFOUT,INCSELF,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
0,3,2,3,3,0,0,0,1,1,1,4,1,1,3,0,0,1,2,0,1,2
1,3,2,3,3,0,1,0,1,0,1,3,2,1,3,2,2,4,2,1,1,2
2,4,1,3,3,0,0,1,1,1,1,4,0,0,1,0,0,1,2,1,1,2
3,3,2,3,3,0,1,0,1,1,1,3,1,1,2,2,2,4,2,1,1,2
4,4,2,3,3,0,0,1,1,1,1,0,2,0,3,0,0,1,2,1,1,2
5,3,1,3,3,0,1,0,1,1,1,3,0,0,4,0,0,1,2,0,1,2
6,3,2,3,3,0,1,0,1,1,1,0,2,3,4,2,2,4,1,1,1,2
12,3,2,3,3,0,1,0,1,1,1,2,1,3,4,2,6,1,1,0,2,2
13,4,2,3,3,0,1,0,1,1,1,0,0,1,3,2,6,1,1,0,1,2
14,3,1,3,3,0,0,0,1,1,1,0,1,0,4,2,2,4,2,1,1,2
16,2,2,3,3,0,1,0,1,1,1,2,6,0,2,2,3,1,3,1,1,2
17,2,1,3,3,0,1,0,1,1,1,4,0,0,4,2,0,4,1,1,1,2
18,3,1,3,3,0,1,0,1,1,1,3,0,0,3,2,2,4,2,1,1,2
19,1,1,3,2,0,1,0,1,1,1,3,0,2,3,2,4,1,3,1,1,2
21,3,2,3,3,0,1,0,0,1,1,2,1,2,4,2,2,1,2,1,1,2
22,1,2,3,3,0,1,0,1,1,1,3,2,0,2,2,1,1,2,3,1,2
24,4,1,3,3,0,0,0,1,1,1,0,3,0,3,2,2,4,2,1,1,2
27,1,1,3,3,0,0,1,1,1,1,0,2,1,1,2,0,3,2,0,1,2
31,3,2,3,3,0,1,0,1,1,1,2,0,0,3,2,6,1,2,1,1,2
32,2,2,3,3,0,1,0,1,1,1,4,2,2,2,2,2,4,2,1,1,2
34,3,2,3,3,0,0,0,1,1,1,0,0,0,4,2,2,4,2,0,1,2
36,3,2,3,3,1,1,0,1,1,1,2,2,1,2,2,0,2,2,0,1,2
38,1,2,3,3,0,1,0,1,1,1,0,2,2,3,0,0,3,2,0,1,2
41,4,1,3,2,1,1,0,1,1,1,4,1,1,3,2,6,4,2,2,1,2
42,3,1,3,3,0,1,0,1,1,1,3,0,1,3,2,2,1,2,1,1,2
45,4,1,3,1,0,1,0,1,1,1,3,1,0,4,2,5,4,2,2,1,2
51,3,2,3,2,0,0,0,1,1,1,5,0,2,3,2,6,2,2,2,1,2
53,1,1,3,1,0,1,0,1,1,1,3,0,2,4,2,0,1,2,1,1,2
56,4,1,3,3,0,1,0,1,1,1,3,1,0,2,2,6,1,2,1,1,1
57,3,2,3,3,0,1,0,1,1,1,3,0,2,2,2,5,1,3,1,1,2
59,4,2,3,3,0,1,0,1,1,1,2,1,0,3,2,6,4,2,1,1,1
61,1,1,3,3,0,0,1,1,1,1,3,1,0,1,2,2,4,3,1,1,2
63,1,1,2,3,0,1,0,1,1,1,4,0,2,2,2,5,1,3,2,1,2
65,3,2,3,3,0,0,0,1,1,1,3,1,0,3,2,2,4,2,1,1,2
69,1,1,3,3,0,1,0,1,1,1,3,1,2,2,2,0,1,2,0,1,2
72,3,1,3,3,0,0,1,1,1,1,5,2,0,2,2,1,1,3,1,1,2
75,3,2,2,3,0,0,1,1,1,1,0,2,1,4,2,2,4,2,0,1,1
78,1,1,3,3,0,0,0,1,1,1,4,2,3,3,2,0,1,2,1,1,2
79,1,1,3,2,0,1,1,1,1,1,0,0,1,1,2,2,4,2,2,1,2
81,4,2,3,1,0,0,0,1,1,1,3,0,1,3,2,1,3,3,1,1,2
82,2,2,2,3,0,1,0,1,1,1,2,0,1,2,2,4,1,2,2,1,2
84,2,1,3,1,0,0,0,1,1,0,4,0,1,2,2,6,1,3,2,1,2
85,1,2,3,1,0,0,1,1,1,1,4,0,0,1,2,2,3,2,1,1,2
89,3,1,2,2,0,0,1,1,1,1,5,0,1,2,2,6,1,3,2,1,2
91,2,2,3,3,0,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,2
93,3,2,3,3,0,1,0,1,1,1,0,0,0,3,2,2,2,2,1,1,2
94,1,1,3,3,0,0,1,1,1,1,5,0,1,1,2,6,1,3,3,1,2
95,1,1,3,2,0,0,1,1,1,1,0,0,0,4,0,0,4,2,0,1,2
96,3,2,2,2,0,1,1,1,1,1,3,0,0,2,2,0,3,2,2,1,1
98,1,2,3,3,0,0,1,1,1,1,2,2,0,2,2,6,1,2,3,1,2
99,1,2,3,2,0,0,1,1,1,1,0,0,2,1,0,0,3,3,0,1,2
102,1,1,2,2,0,0,1,1,1,1,5,0,1,2,2,6,3,2,2,1,2
103,1,2,3,3,0,0,1,1,1,1,2,1,0,2,2,2,4,2,2,1,2
104,4,1,3,1,0,0,1,1,1,1,4,3,0,4,2,2,4,2,1,1,2
106,1,2,3,3,0,1,1,1,1,1,2,1,0,2,2,2,1,2,1,1,2
107,3,2,2,2,0,1,0,1,1,1,0,0,2,4,2,2,4,2,0,1,2
108,2,1,3,3,0,0,1,1,1,1,4,4,0,3,2,1,4,2,1,1,2
109,1,1,3,1,0,0,1,1,1,1,0,0,1,1,2,2,1,3,3,1,2
110,2,1,3,2,0,0,1,1,1,1,3,0,0,3,1,5,1,3,3,1,2
111,3,2,2,2,0,0,0,1,1,1,2,1,0,2,2,5,3,2,1,1,1
112,1,2,3,2,0,0,1,1,1,1,5,1,0,2,2,3,1,2,0,1,1
114,4,2,3,3,0,1,0,1,1,1,1,0,0,3,2,6,3,2,1,1,1
117,2,1,3,3,1,0,1,1,1,1,4,3,1,2,2,1,1,2,2,1,2
118,1,2,3,2,0,0,1,1,1,1,2,0,0,1,2,6,3,3,3,1,2
119,3,1,3,3,0,0,1,1,1,1,0,0,1,2,2,2,1,3,2,1,2
120,4,2,2,2,0,1,1,1,1,1,0,1,0,1,2,3,2,2,0,1,2
121,3,2,3,3,0,0,1,1,1,1,3,0,0,2,2,5,1,2,1,1,2
122,1,2,3,2,0,1,1,1,1,1,1,0,2,3,2,2,4,2,1,1,2
123,4,1,2,3,1,0,1,1,1,1,4,0,1,3,2,6,1,3,2,1,2
127,3,2,2,2,1,1,1,1,1,1,3,0,1,2,1,3,4,2,2,1,2
128,1,1,3,3,0,0,1,1,1,1,4,0,0,2,2,5,3,3,2,1,2
130,2,1,2,2,0,0,1,1,1,1,5,0,1,3,2,2,3,3,2,1,2
132,3,1,3,2,2,0,1,1,1,1,4,0,0,2,2,5,2,2,1,1,2
133,1,2,2,2,1,0,1,1,1,1,0,1,0,1,2,2,4,3,1,1,2
134,3,1,3,3,0,0,1,1,1,1,5,3,0,1,2,6,1,2,2,1,2
135,3,2,3,3,0,0,1,1,1,1,2,0,1,2,2,6,2,3,2,1,2
136,3,2,1,1,0,0,0,1,1,1,3,2,0,2,2,6,2,2,2,1,1
141,2,2,2,2,1,0,1,1,1,1,2,0,0,3,2,2,1,2,2,1,2
142,3,2,3,3,0,0,1,1,1,1,3,0,0,2,0,0,1,2,2,1,1
144,4,1,3,2,3,0,1,1,1,1,5,0,1,4,2,6,1,3,3,1,2
145,3,1,2,2,2,0,1,1,1,1,5,1,0,2,2,5,2,3,0,1,2
146,1,1,3,3,0,0,1,1,1,1,4,3,0,2,0,0,1,2,0,1,2
147,4,1,1,1,0,0,0,1,1,1,3,1,1,3,2,1,4,2,1,1,2
148,1,2,3,2,0,1,1,1,1,1,1,2,0,2,2,6,2,3,1,1,2
152,4,1,3,1,0,0,1,1,1,1,3,1,0,3,2,1,2,2,0,1,2
153,1,2,3,3,0,0,1,1,1,1,5,0,0,3,2,6,1,3,3,1,2
154,1,2,2,2,0,0,1,1,1,1,5,1,0,2,2,3,3,3,2,1,1
157,4,2,3,2,0,0,1,0,1,1,0,0,1,2,2,2,4,2,2,1,2
158,1,2,3,2,0,0,1,1,1,1,0,0,0,2,2,0,2,3,0,1,2
160,3,2,1,1,0,0,0,1,1,1,3,0,0,2,2,3,2,2,2,1,2
161,4,2,2,3,0,0,1,1,1,1,2,1,0,3,2,3,2,2,2,1,2
162,3,2,3,2,0,0,0,1,1,1,2,1,0,3,2,1,4,2,1,1,2
163,3,1,2,3,0,0,1,1,1,1,5,0,0,1,2,2,1,3,2,1,2
164,1,2,2,2,0,0,1,1,1,1,3,3,1,2,2,0,1,3,2,1,1
165,4,2,3,3,0,0,1,1,1,1,3,2,0,3,2,3,1,2,2,1,2
170,3,2,3,2,0,1,1,1,1,1,1,0,1,2,2,3,3,3,2,1,2
174,1,2,3,3,0,0,1,1,1,1,3,0,1,2,0,0,1,2,1,1,2
175,2,2,1,1,0,0,1,1,1,1,4,0,0,2,2,6,3,2,2,1,2
179,1,1,2,2,0,0,1,1,1,1,5,1,0,2,1,3,1,3,2,1,1
185,3,1,3,2,0,0,1,1,1,1,5,0,0,1,0,0,3,3,2,1,2
189,1,1,1,1,0,0,1,1,1,1,4,0,0,1,2,0,2,3,0,1,2
190,1,2,1,1,0,0,1,1,1,1,2,0,1,2,2,0,2,2,2,1,2
191,4,2,1,1,0,0,1,1,1,1,4,0,0,3,2,2,4,2,2,1,2
192,4,2,2,2,1,0,1,1,1,1,2,0,0,3,2,2,4,3,1,1,2
193,3,2,2,3,0,0,1,1,1,1,3,0,0,3,2,2,1,2,2,1,2
197,3,2,1,1,1,0,0,1,1,1,4,0,0,2,2,1,2,2,2,1,2
201,1,1,2,2,0,0,1,1,1,1,4,0,3,2,2,3,1,3,2,1,2
204,4,1,1,1,0,0,1,1,1,1,0,0,0,3,2,0,2,2,2,1,2
205,4,1,2,2,0,0,1,1,1,1,4,1,0,3,2,3,2,2,2,1,2
208,1,1,2,2,0,0,1,1,1,1,4,0,2,3,2,0,2,3,0,1,2
209,3,2,2,2,0,1,1,1,1,1,0,1,0,2,2,2,3,3,3,1,2
210,4,2,2,2,0,1,1,1,1,1,1,0,1,2,2,2,3,2,2,1,2
215,3,2,1,1,0,0,1,1,1,1,4,1,0,2,2,2,4,3,2,1,2
217,1,2,3,2,0,0,1,1,1,1,4,0,0,1,0,0,1,3,2,1,2
219,3,1,2,2,0,0,1,1,1,1,4,1,1,2,2,2,3,2,2,1,2
221,1,1,2,3,0,0,1,1,1,1,3,1,0,1,2,0,1,2,3,1,2
222,4,2,2,2,0,0,1,1,1,1,3,2,0,3,2,2,1,2,3,1,2
224,3,2,2,2,0,0,0,1,1,1,3,0,0,2,0,0,4,2,0,1,2
225,1,2,1,3,0,0,1,1,1,1,4,0,0,2,2,2,4,3,3,1,2
226,2,2,3,1,0,0,1,1,1,1,3,0,1,2,2,3,3,3,2,1,1
228,2,2,2,2,0,1,1,1,1,1,0,0,1,2,2,5,2,2,3,1,2
229,3,2,1,1,0,0,1,1,1,1,4,0,0,2,2,0,2,3,2,1,2
230,4,2,2,2,0,0,1,1,1,1,2,0,0,3,2,5,2,2,2,1,2
231,3,2,1,1,0,0,1,0,1,1,2,1,0,2,2,0,2,2,3,1,1
232,3,1,1,1,0,1,1,1,1,1,0,0,0,2,2,2,4,3,3,3,2
