,MARC
0,3
1,3
2,3
3,3
4,3
5,1
6,1
7,3
8,1
9,1
10,1
11,1
12,3
13,1
14,3
15,3
16,1
17,3
18,3
19,3
20,3
21,2
22,1
23,1
24,1
25,1
26,1
27,2
28,1
29,3
30,1
31,1
32,1
33,2
34,1
35,1
36,3
37,1
38,1
39,3
40,1
41,3
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,2
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,2
61,1
62,1
63,1
64,3
65,1
66,2
67,1
68,1
69,1
70,1
71,2
72,1
73,1
74,1
75,1
76,2
77,1
78,3
79,1
80,1
81,2
82,3
83,1
84,2
85,1
86,2
87,1
88,1
89,2
90,1
91,3
92,1
93,1
94,3
95,1
96,2
97,2
98,1
99,3
100,3
101,3
102,3
103,1
104,3
105,3
106,1
107,3
108,1
109,1
110,1
111,1
112,3
113,3
114,1
115,1
116,2
117,3
118,3
119,3
120,1
121,3
122,1
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,1
137,3
138,1
139,3
140,3
141,1
142,1
143,1
144,1
145,3
146,2
147,3
148,2
149,1
150,1
151,1
152,1
153,1
154,2
155,1
156,1
157,1
158,2
159,2
160,3
161,1
162,2
163,1
164,1
165,3
166,2
167,3
168,3
169,1
170,1
171,3
172,3
173,3
174,3
175,3
176,3
177,1
178,3
179,3
180,1
181,3
182,2
183,1
184,3
185,3
186,1
187,1
188,1
189,1
190,1
191,3
192,1
193,3
194,3
195,1
196,3
197,3
198,1
199,3
200,1
201,1
202,3
203,1
204,2
205,1
206,3
207,3
208,1
209,1
210,2
211,1
212,1
213,3
214,1
215,1
216,3
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,3
226,1
227,1
228,1
229,1
230,3
231,1
232,1
233,1
234,1
235,1
236,1
237,3
238,1
239,1
240,1
241,3
242,1
243,1
244,2
245,1
246,2
247,3
248,1
249,3
250,1
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,1
259,1
260,3
261,1
262,1
263,1
264,1
265,3
266,1
267,1
268,3
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,3
277,3
278,1
279,3
280,1
281,3
282,3
283,3
284,3
285,1
286,1
287,3
288,1
289,1
290,3
291,3
292,3
293,3
294,3
295,1
296,3
297,3
298,1
299,1
300,1
301,3
302,1
303,1
304,1
305,3
306,2
307,2
308,1
309,2
310,1
311,1
312,1
313,3
314,3
315,2
316,3
317,1
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,1
330,3
331,3
332,3
333,3
334,1
335,1
336,1
337,2
338,3
339,3
340,3
341,2
342,3
343,2
344,2
345,1
346,1
347,3
348,3
349,3
350,3
351,1
352,3
353,1
354,1
355,1
356,1
357,3
358,3
359,2
360,3
361,1
362,1
363,1
364,1
365,3
366,1
367,3
368,3
369,3
370,1
371,3
372,1
373,1
374,3
375,2
376,3
377,3
378,3
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,3
397,3
398,1
399,2
400,3
401,1
402,1
403,3
404,1
405,1
406,3
407,3
408,1
409,1
410,3
411,1
412,1
413,3
414,1
415,3
416,1
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,3
435,1
436,1
437,3
438,3
439,1
440,1
441,1
442,1
443,1
444,2
445,1
446,1
447,1
448,1
449,1
450,2
451,1
452,1
453,1
454,1
455,2
456,2
457,1
458,1
459,3
460,1
461,1
462,1
463,2
464,1
465,1
466,1
467,1
468,2
469,3
470,1
471,1
472,3
473,3
474,3
475,3
476,2
477,1
478,3
479,3
480,3
481,3
482,3
483,3
484,2
485,1
486,3
487,3
488,1
489,1
490,1
491,3
492,1
493,1
494,1
495,3
496,3
497,2
498,1
499,1
500,1
501,1
502,1
503,1
504,3
505,1
506,2
507,1
508,1
509,3
510,1
511,1
512,1
513,1
514,1
515,3
516,1
517,1
518,2
519,1
520,3
521,3
522,3
523,1
524,1
525,3
526,3
527,3
528,3
529,1
530,3
531,3
532,3
533,3
534,3
535,3
536,1
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,1
545,1
546,3
547,1
548,1
549,3
550,1
551,3
552,1
553,3
554,3
555,3
556,1
557,1
558,1
559,1
560,1
561,3
562,3
563,3
564,1
565,1
566,1
567,3
568,3
569,3
570,1
571,2
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,3
580,1
581,3
582,1
583,1
584,3
585,1
586,1
587,3
588,1
589,3
590,1
591,1
592,3
593,1
594,1
595,3
596,1
597,1
598,2
599,1
600,3
601,1
602,1
603,1
604,1
605,1
606,1
607,2
608,3
609,1
610,1
611,1
612,1
613,1
614,3
615,3
616,1
617,1
618,1
619,3
620,3
621,1
622,3
623,3
624,1
625,3
626,1
627,3
628,1
629,1
630,1
631,3
632,1
633,1
634,1
635,3
636,1
637,1
638,1
639,3
640,1
641,1
642,3
643,3
644,2
645,3
646,3
647,1
648,3
649,1
650,3
651,3
652,3
653,1
654,1
655,3
656,3
657,3
658,3
659,3
660,3
661,3
662,3
663,3
664,3
665,3
666,1
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,1
685,3
686,1
687,3
688,3
689,1
690,1
691,3
692,1
693,1
694,1
695,1
696,3
697,3
698,1
699,2
700,3
701,1
702,1
703,1
704,1
705,3
706,1
707,1
708,1
709,1
710,1
711,3
712,1
713,1
714,1
715,1
716,1
717,3
718,3
719,3
720,1
721,1
722,3
723,1
724,3
725,1
726,1
727,1
728,3
729,1
730,1
731,1
732,3
733,2
734,2
735,3
736,1
737,1
738,3
739,1
740,1
741,1
742,2
743,2
744,3
745,1
746,1
747,3
748,1
749,1
750,1
751,1
752,2
753,2
754,1
755,2
756,3
757,1
758,2
759,1
760,1
761,3
762,1
763,3
764,3
765,3
766,1
767,3
768,3
769,1
770,3
771,3
772,2
773,3
774,3
775,1
776,3
777,3
778,1
779,3
780,1
781,1
782,3
783,3
784,3
785,3
786,1
787,1
788,3
789,3
790,1
791,3
792,3
793,3
794,3
795,1
796,3
797,3
798,3
799,3
800,3
801,3
802,3
803,3
804,1
805,3
806,3
807,3
808,1
809,3
810,3
811,1
812,1
813,3
814,3
815,1
816,1
817,1
818,1
819,2
820,1
821,1
822,1
823,3
824,1
825,1
826,1
827,1
828,1
829,3
830,1
831,3
832,1
833,2
834,1
835,2
836,2
837,3
838,3
839,1
840,1
841,1
842,2
843,3
844,1
845,2
846,1
847,3
848,1
849,1
850,2
851,3
852,3
853,1
854,1
855,1
856,3
857,1
858,3
859,1
860,1
861,1
862,1
863,3
864,1
865,3
866,1
867,1
868,3
869,1
870,3
871,1
872,1
873,1
874,2
875,2
876,1
877,3
878,2
879,1
880,3
881,2
