,SIZE,SEXA,PPLVTG,MMLVTG,SZFFOUT,INCSELF,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
0,3,2,3,3,0,0,0,1,1,1,4,1,1,3,0,0,1,2,0,1,2
1,3,2,3,3,0,1,0,1,0,1,3,2,1,3,2,2,4,2,1,1,2
2,4,1,3,3,0,0,1,1,1,1,4,0,0,1,0,0,1,2,1,1,2
3,3,2,3,3,0,1,0,1,1,1,3,1,1,2,2,2,4,2,1,1,2
4,4,2,3,3,0,0,1,1,1,1,0,2,0,3,0,0,1,2,1,1,2
5,3,1,3,3,0,1,0,1,1,1,3,0,0,4,0,0,1,2,0,1,2
6,3,2,3,3,0,1,0,1,1,1,0,2,3,4,2,2,4,1,1,1,2
10,4,2,3,3,1,1,0,1,1,1,2,3,1,3,2,2,4,1,1,1,2
12,3,2,3,3,0,1,0,1,1,1,2,1,3,4,2,6,1,1,0,2,2
18,3,1,3,3,0,1,0,1,1,1,3,0,0,3,2,2,4,2,1,1,2
21,3,2,3,3,0,1,0,0,1,1,2,1,2,4,2,2,1,2,1,1,2
22,1,2,3,3,0,1,0,1,1,1,3,2,0,2,2,1,1,2,3,1,2
23,4,1,3,3,0,1,0,1,1,1,3,0,2,4,2,2,4,2,1,1,2
25,3,1,3,3,0,1,0,1,1,1,3,4,1,2,2,2,1,2,3,1,2
27,1,1,3,3,0,0,1,1,1,1,0,2,1,1,2,0,3,2,0,1,2
28,3,1,3,3,0,0,0,1,1,1,4,0,0,3,2,1,1,1,1,1,2
29,3,1,3,3,0,1,0,1,1,1,3,0,2,4,2,2,4,2,1,1,2
31,3,2,3,3,0,1,0,1,1,1,2,0,0,3,2,6,1,2,1,1,2
32,2,2,3,3,0,1,0,1,1,1,4,2,2,2,2,2,4,2,1,1,2
33,3,1,3,3,0,1,0,1,1,1,0,0,2,3,2,2,4,2,1,1,2
34,3,2,3,3,0,0,0,1,1,1,0,0,0,4,2,2,4,2,0,1,2
36,3,2,3,3,1,1,0,1,1,1,2,2,1,2,2,0,2,2,0,1,2
42,3,1,3,3,0,1,0,1,1,1,3,0,1,3,2,2,1,2,1,1,2
43,4,1,3,3,0,1,0,1,1,1,4,4,0,2,0,0,4,3,1,2,2
46,1,2,3,3,0,1,0,1,1,1,2,1,1,1,2,4,1,2,0,1,2
49,3,1,3,3,0,1,0,1,1,1,3,1,0,2,2,5,1,2,1,1,2
50,2,2,3,3,0,0,0,1,1,1,2,3,0,3,2,4,1,2,1,1,2
51,3,2,3,2,0,0,0,1,1,1,5,0,2,3,2,6,2,2,2,1,2
53,1,1,3,1,0,1,0,1,1,1,3,0,2,4,2,0,1,2,1,1,2
55,2,1,3,3,0,1,0,1,1,1,3,4,0,3,2,2,4,2,1,1,1
57,3,2,3,3,0,1,0,1,1,1,3,0,2,2,2,5,1,3,1,1,2
59,4,2,3,3,0,1,0,1,1,1,2,1,0,3,2,6,4,2,1,1,1
61,1,1,3,3,0,0,1,1,1,1,3,1,0,1,2,2,4,3,1,1,2
62,4,1,3,1,0,0,1,1,1,1,5,1,0,3,2,2,4,2,0,1,2
65,3,2,3,3,0,0,0,1,1,1,3,1,0,3,2,2,4,2,1,1,2
68,1,2,3,2,1,1,0,1,1,1,1,1,1,4,2,1,4,2,0,1,2
72,3,1,3,3,0,0,1,1,1,1,5,2,0,2,2,1,1,3,1,1,2
75,3,2,2,3,0,0,1,1,1,1,0,2,1,4,2,2,4,2,0,1,1
79,1,1,3,2,0,1,1,1,1,1,0,0,1,1,2,2,4,2,2,1,2
80,4,2,3,3,0,1,1,1,1,1,1,2,0,1,0,0,1,2,0,1,2
81,4,2,3,1,0,0,0,1,1,1,3,0,1,3,2,1,3,3,1,1,2
84,2,1,3,1,0,0,0,1,1,0,4,0,1,2,2,6,1,3,2,1,2
85,1,2,3,1,0,0,1,1,1,1,4,0,0,1,2,2,3,2,1,1,2
86,3,1,3,1,0,0,0,1,1,1,5,0,0,3,2,2,2,3,2,1,2
90,3,1,3,2,0,0,0,1,1,1,4,2,1,2,2,6,2,2,1,1,2
92,2,1,3,2,0,0,1,1,1,1,5,1,0,2,2,2,3,2,1,2,2
94,1,1,3,3,0,0,1,1,1,1,5,0,1,1,2,6,1,3,3,1,2
97,1,1,3,3,0,0,1,1,1,1,4,0,0,1,2,6,1,2,1,1,2
98,1,2,3,3,0,0,1,1,1,1,2,2,0,2,2,6,1,2,3,1,2
103,1,2,3,3,0,0,1,1,1,1,2,1,0,2,2,2,4,2,2,1,2
104,4,1,3,1,0,0,1,1,1,1,4,3,0,4,2,2,4,2,1,1,2
106,1,2,3,3,0,1,1,1,1,1,2,1,0,2,2,2,1,2,1,1,2
108,2,1,3,3,0,0,1,1,1,1,4,4,0,3,2,1,4,2,1,1,2
111,3,2,2,2,0,0,0,1,1,1,2,1,0,2,2,5,3,2,1,1,1
112,1,2,3,2,0,0,1,1,1,1,5,1,0,2,2,3,1,2,0,1,1
114,4,2,3,3,0,1,0,1,1,1,1,0,0,3,2,6,3,2,1,1,1
115,3,2,3,2,0,0,1,1,1,1,2,0,0,3,2,2,4,2,1,1,2
116,4,2,3,3,1,0,1,1,1,1,2,1,0,3,2,2,4,2,1,1,2
117,2,1,3,3,1,0,1,1,1,1,4,3,1,2,2,1,1,2,2,1,2
119,3,1,3,3,0,0,1,1,1,1,0,0,1,2,2,2,1,3,2,1,2
121,3,2,3,3,0,0,1,1,1,1,3,0,0,2,2,5,1,2,1,1,2
123,4,1,2,3,1,0,1,1,1,1,4,0,1,3,2,6,1,3,2,1,2
124,4,2,3,2,1,0,1,1,1,1,2,1,0,3,2,2,2,3,1,1,1
128,1,1,3,3,0,0,1,1,1,1,4,0,0,2,2,5,3,3,2,1,2
130,2,1,2,2,0,0,1,1,1,1,5,0,1,3,2,2,3,3,2,1,2
135,3,2,3,3,0,0,1,1,1,1,2,0,1,2,2,6,2,3,2,1,2
136,3,2,1,1,0,0,0,1,1,1,3,2,0,2,2,6,2,2,2,1,1
140,1,2,3,3,0,0,1,1,1,1,0,4,0,2,2,2,3,2,2,1,2
142,3,2,3,3,0,0,1,1,1,1,3,0,0,2,0,0,1,2,2,1,1
146,1,1,3,3,0,0,1,1,1,1,4,3,0,2,0,0,1,2,0,1,2
147,4,1,1,1,0,0,0,1,1,1,3,1,1,3,2,1,4,2,1,1,2
149,3,2,2,2,0,0,1,1,1,1,2,0,1,3,2,2,4,2,0,1,2
152,4,1,3,1,0,0,1,1,1,1,3,1,0,3,2,1,2,2,0,1,2
153,1,2,3,3,0,0,1,1,1,1,5,0,0,3,2,6,1,3,3,1,2
154,1,2,2,2,0,0,1,1,1,1,5,1,0,2,2,3,3,3,2,1,1
156,3,2,3,2,0,0,1,1,1,1,3,0,1,2,2,6,2,2,2,1,1
159,3,2,1,3,1,1,1,1,1,1,0,0,0,4,2,3,2,2,2,1,1
160,3,2,1,1,0,0,0,1,1,1,3,0,0,2,2,3,2,2,2,1,2
162,3,2,3,2,0,0,0,1,1,1,2,1,0,3,2,1,4,2,1,1,2
164,1,2,2,2,0,0,1,1,1,1,3,3,1,2,2,0,1,3,2,1,1
165,4,2,3,3,0,0,1,1,1,1,3,2,0,3,2,3,1,2,2,1,2
166,1,2,2,2,0,0,1,1,1,1,2,0,0,2,2,4,2,2,1,1,2
169,4,1,2,2,0,0,1,1,1,1,4,0,1,2,2,2,2,2,2,1,2
174,1,2,3,3,0,0,1,1,1,1,3,0,1,2,0,0,1,2,1,1,2
175,2,2,1,1,0,0,1,1,1,1,4,0,0,2,2,6,3,2,2,1,2
178,4,2,3,2,0,0,1,1,1,1,2,0,0,1,2,4,1,3,2,1,2
180,1,1,2,2,0,0,1,1,1,1,0,0,0,1,2,6,2,3,0,1,2
182,1,1,2,2,0,0,1,1,1,1,0,0,0,2,2,2,1,3,2,1,2
184,1,2,2,3,0,1,1,1,1,1,1,1,0,3,2,0,1,3,3,1,2
185,3,1,3,2,0,0,1,1,1,1,5,0,0,1,0,0,3,3,2,1,2
186,1,1,2,2,0,0,1,1,1,1,4,1,0,1,2,6,1,3,2,1,2
187,1,1,2,2,0,0,1,1,1,1,4,0,1,1,2,3,1,3,3,1,2
188,4,2,2,2,0,1,1,1,1,1,1,0,0,3,2,3,2,2,2,1,2
189,1,1,1,1,0,0,1,1,1,1,4,0,0,1,2,0,2,3,0,1,2
190,1,2,1,1,0,0,1,1,1,1,2,0,1,2,2,0,2,2,2,1,2
191,4,2,1,1,0,0,1,1,1,1,4,0,0,3,2,2,4,2,2,1,2
193,3,2,2,3,0,0,1,1,1,1,3,0,0,3,2,2,1,2,2,1,2
194,3,1,3,2,0,0,1,1,1,1,5,0,0,2,0,0,2,3,2,1,2
197,3,2,1,1,1,0,0,1,1,1,4,0,0,2,2,1,2,2,2,1,2
198,1,2,2,2,0,0,1,1,1,1,4,0,0,1,2,2,2,2,3,1,2
200,1,2,2,2,0,0,1,1,1,1,2,0,0,1,0,0,2,2,0,1,2
201,1,1,2,2,0,0,1,1,1,1,4,0,3,2,2,3,1,3,2,1,2
204,4,1,1,1,0,0,1,1,1,1,0,0,0,3,2,0,2,2,2,1,2
205,4,1,2,2,0,0,1,1,1,1,4,1,0,3,2,3,2,2,2,1,2
206,4,1,2,2,0,0,1,1,1,1,5,1,0,3,2,2,4,3,2,1,2
207,4,2,2,2,0,0,1,1,1,1,0,0,1,1,2,0,3,3,0,1,1
209,3,2,2,2,0,1,1,1,1,1,0,1,0,2,2,2,3,3,3,1,2
210,4,2,2,2,0,1,1,1,1,1,1,0,1,2,2,2,3,2,2,1,2
211,1,1,2,2,0,0,1,1,1,1,4,0,0,2,2,2,1,3,2,1,2
213,1,2,2,3,0,1,1,1,1,1,1,0,0,2,2,6,3,3,3,1,2
214,1,2,1,1,1,1,1,1,1,1,0,3,2,1,2,6,1,2,3,2,2
215,3,2,1,1,0,0,1,1,1,1,4,1,0,2,2,2,4,3,2,1,2
217,1,2,3,2,0,0,1,1,1,1,4,0,0,1,0,0,1,3,2,1,2
218,4,1,2,2,0,0,1,1,1,1,0,1,0,3,2,0,4,3,2,1,2
221,1,1,2,3,0,0,1,1,1,1,3,1,0,1,2,0,1,2,3,1,2
222,4,2,2,2,0,0,1,1,1,1,3,2,0,3,2,2,1,2,3,1,2
224,3,2,2,2,0,0,0,1,1,1,3,0,0,2,0,0,4,2,0,1,2
225,1,2,1,3,0,0,1,1,1,1,4,0,0,2,2,2,4,3,3,1,2
226,2,2,3,1,0,0,1,1,1,1,3,0,1,2,2,3,3,3,2,1,1
229,3,2,1,1,0,0,1,1,1,1,4,0,0,2,2,0,2,3,2,1,2
230,4,2,2,2,0,0,1,1,1,1,2,0,0,3,2,5,2,2,2,1,2
231,3,2,1,1,0,0,1,0,1,1,2,1,0,2,2,0,2,2,3,1,1
232,3,1,1,1,0,1,1,1,1,1,0,0,0,2,2,2,4,3,3,3,2
233,4,1,1,1,0,1,1,1,1,1,2,0,1,3,2,6,2,3,2,1,1
234,1,2,1,1,0,0,1,1,1,1,3,0,1,1,2,0,2,2,2,2,2
