,MARC
0,3
1,3
2,3
3,3
4,3
5,1
6,1
7,1
8,3
9,3
10,3
11,4
12,1
13,1
14,3
15,1
16,1
17,3
18,3
19,1
20,3
21,2
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,3
31,1
32,1
33,1
34,2
35,1
36,1
37,3
38,1
39,1
40,4
41,3
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,2
50,1
51,1
52,1
53,1
54,2
55,1
56,1
57,1
58,1
59,4
60,2
61,1
62,1
63,1
64,2
65,1
66,2
67,1
68,4
69,2
70,4
71,1
72,2
73,1
74,2
75,1
76,1
77,2
78,3
79,1
80,4
81,1
82,1
83,2
84,2
85,1
86,1
87,1
88,1
89,4
90,1
91,1
92,1
93,4
94,4
95,4
96,4
97,1
98,4
99,1
100,1
101,1
102,4
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,4
112,4
113,1
114,1
115,2
116,4
117,4
118,4
119,4
120,1
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,3
131,3
132,3
133,3
134,1
135,1
136,3
137,1
138,1
139,3
140,3
141,1
142,1
143,1
144,1
145,4
146,2
147,1
148,4
149,2
150,1
151,2
152,1
153,1
154,1
155,2
156,1
157,1
158,2
159,4
160,1
161,2
162,1
163,1
164,4
165,2
166,4
167,4
168,1
169,1
170,1
171,4
172,4
173,4
174,4
175,3
176,3
177,1
178,1
179,3
180,3
181,1
182,1
183,1
184,1
185,3
186,1
187,1
188,2
189,1
190,4
191,4
192,1
193,1
194,1
195,1
196,1
197,4
198,1
199,4
200,1
201,4
202,4
203,3
204,1
205,3
206,1
207,3
208,1
209,1
210,2
211,1
212,3
213,1
214,3
215,1
216,1
217,2
218,1
219,1
220,3
221,1
222,1
223,3
224,1
225,1
226,1
227,3
228,1
229,1
230,1
231,1
232,1
233,1
234,4
235,1
236,1
237,1
238,1
239,1
240,1
241,4
242,1
243,4
244,1
245,2
246,2
247,4
248,1
249,4
250,4
251,4
252,1
253,4
254,4
255,3
256,3
257,3
258,1
259,3
260,1
261,3
262,1
263,1
264,1
265,1
266,4
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,4
276,1
277,4
278,1
279,4
280,4
281,4
282,4
283,3
284,1
285,1
286,3
287,3
288,3
289,3
290,1
291,3
292,3
293,1
294,4
295,3
296,1
297,1
298,1
299,1
300,3
301,1
302,1
303,1
304,1
305,1
306,3
307,2
308,2
309,1
310,1
311,2
312,1
313,4
314,4
315,2
316,4
317,1
318,4
319,4
320,1
321,4
322,4
323,4
324,4
325,4
326,4
327,3
328,3
329,3
330,1
331,1
332,1
333,3
334,3
335,3
336,1
337,1
338,3
339,1
340,1
341,1
342,2
343,3
344,3
345,3
346,2
347,1
348,1
349,4
350,2
351,1
352,2
353,1
354,1
355,4
356,4
357,1
358,1
359,4
360,1
361,4
362,1
363,1
364,4
365,1
366,1
367,1
368,5
369,4
370,2
371,4
372,1
373,1
374,1
375,4
376,1
377,4
378,4
379,4
380,3
381,3
382,1
383,2
384,3
385,3
386,3
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,3
401,4
402,1
403,1
404,2
405,4
406,1
407,1
408,4
409,1
410,1
411,4
412,4
413,1
414,1
415,4
416,1
417,4
418,4
419,1
420,4
421,4
422,4
423,4
424,4
425,4
426,4
427,3
428,3
429,3
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,3
438,1
439,1
440,3
441,3
442,1
443,1
444,1
445,2
446,1
447,1
448,1
449,2
450,1
451,1
452,2
453,1
454,1
455,2
456,1
457,1
458,4
459,2
460,1
461,1
462,1
463,1
464,2
465,1
466,4
467,1
468,4
469,4
470,4
471,1
472,4
473,2
474,4
475,4
476,4
477,4
478,3
479,3
480,2
481,1
482,3
483,3
484,1
485,1
486,3
487,1
488,1
489,4
490,1
491,3
492,2
493,1
494,1
495,1
496,3
497,1
498,1
499,1
500,2
501,1
502,3
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,4
511,2
512,1
513,1
514,4
515,1
516,4
517,4
518,1
519,1
520,1
521,4
522,5
523,4
524,4
525,4
526,1
527,4
528,4
529,4
530,4
531,3
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,1
541,1
542,1
543,1
544,1
545,3
546,1
547,1
548,3
549,1
550,4
551,3
552,3
553,1
554,1
555,1
556,1
557,3
558,1
559,1
560,3
561,3
562,3
563,3
564,3
565,2
566,1
567,1
568,4
569,3
570,1
571,4
572,1
573,1
574,1
575,1
576,3
577,1
578,3
579,1
580,4
581,1
582,1
583,4
584,1
585,1
586,2
587,1
588,3
589,1
590,1
591,1
592,2
593,4
594,1
595,1
596,1
597,4
598,1
599,4
600,1
601,1
602,4
603,4
604,4
605,4
606,1
607,4
608,1
609,4
610,1
611,1
612,1
613,4
614,1
615,1
616,4
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,4
625,1
626,4
627,1
628,4
629,2
630,4
631,4
632,1
633,1
634,1
635,4
636,1
637,4
638,4
639,4
640,1
641,1
642,1
643,4
644,4
645,1
646,4
647,4
648,4
649,4
650,4
651,4
652,4
653,4
654,4
655,1
656,4
657,4
658,4
659,4
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,3
673,3
674,3
675,3
676,1
677,3
678,1
679,1
680,1
681,3
682,1
683,3
684,1
685,1
686,2
687,3
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,3
696,1
697,1
698,3
699,1
700,1
701,1
702,1
703,1
704,1
705,3
706,1
707,3
708,3
709,1
710,1
711,1
712,1
713,1
714,1
715,4
716,1
717,1
718,1
719,1
720,3
721,1
722,1
723,1
724,4
725,1
726,1
727,4
728,2
729,2
730,4
731,1
732,1
733,1
734,3
735,1
736,2
737,1
738,2
739,3
740,1
741,1
742,1
743,1
744,4
745,1
746,1
747,1
748,2
749,1
750,2
751,1
752,1
753,1
754,1
755,2
756,5
757,1
758,2
759,4
760,1
761,1
762,4
763,1
764,4
765,1
766,4
767,1
768,1
769,4
770,6
771,4
772,1
773,4
774,2
775,4
776,1
777,1
778,4
779,1
780,4
781,4
782,4
783,1
784,4
785,4
786,4
787,4
788,1
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,4
799,4
800,3
801,3
802,3
803,1
804,3
805,3
806,1
807,3
808,1
809,1
810,4
811,1
812,1
813,3
814,1
815,3
816,3
817,1
818,1
819,1
820,2
821,1
822,1
823,3
824,1
825,1
826,1
827,1
828,1
829,3
830,1
831,4
832,2
833,1
834,1
835,2
836,2
837,4
838,3
839,1
840,2
841,1
842,1
843,3
844,1
845,2
846,4
847,1
848,2
849,3
850,4
851,1
852,1
853,1
854,3
855,1
856,4
857,1
858,1
859,1
860,1
861,1
862,4
863,1
864,3
865,1
866,1
867,1
868,4
869,4
870,1
871,1
872,1
873,2
874,2
875,1
876,4
877,1
878,2
879,1
880,4
881,2
